UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
233.0,L47412,L,298.2,308.4,1424.0,47.6,179.0,0,0.0,0.0,0.0,0.0,0.0
234.0,L47413,L,298.2,308.4,1512.0,34.9,181.0,0,0.0,0.0,0.0,0.0,0.0
235.0,L47414,L,298.2,308.4,1478.0,42.9,183.0,0,0.0,0.0,0.0,0.0,0.0
236.0,M15095,M,298.1,308.3,1680.0,33.7,185.0,0,0.0,0.0,0.0,0.0,0.0
237.0,L47416,L,298.1,308.3,1495.0,38.7,188.0,0,0.0,0.0,0.0,0.0,0.0
238.0,M15097,M,298.0,308.1,1552.0,36.6,190.0,0,0.0,0.0,0.0,0.0,0.0
239.0,L47418,L,297.9,308.1,1393.0,50.3,193.0,0,0.0,0.0,0.0,0.0,0.0
240.0,L47419,L,298.0,308.2,1611.0,30.6,195.0,0,0.0,0.0,0.0,0.0,0.0
241.0,M15100,M,298.0,308.1,1339.0,51.6,197.0,0,0.0,0.0,0.0,0.0,0.0
242.0,L47421,L,298.0,308.1,1777.0,24.3,200.0,0,0.0,0.0,0.0,0.0,0.0
243.0,L47422,L,298.0,308.2,1348.0,58.8,202.0,1,0.0,0.0,0.0,1.0,0.0
244.0,L47423,L,298.0,308.2,1442.0,44.1,204.0,0,0.0,0.0,0.0,0.0,0.0
245.0,M15104,M,298.0,308.2,1395.0,49.1,206.0,0,0.0,0.0,0.0,0.0,0.0
246.0,M15105,M,297.9,308.1,1627.0,31.4,209.0,0,0.0,0.0,0.0,0.0,0.0
247.0,L47426,L,297.9,308.1,1585.0,33.5,212.0,0,0.0,0.0,0.0,0.0,0.0
248.0,L47427,L,298.0,308.2,1469.0,45.5,214.0,0,0.0,0.0,0.0,0.0,0.0
249.0,L47428,L,298.0,308.3,1362.0,56.8,216.0,1,0.0,0.0,0.0,1.0,0.0
250.0,L47429,L,298.0,308.3,1405.0,56.2,218.0,1,0.0,0.0,0.0,1.0,0.0
251.0,L47430,L,298.0,308.3,1662.0,32.7,0.0,0,0.0,0.0,0.0,0.0,0.0
252.0,M15111,M,298.0,308.2,1466.0,42.6,2.0,0,0.0,0.0,0.0,0.0,0.0
253.0,L47432,L,298.0,308.2,1620.0,35.8,5.0,0,0.0,0.0,0.0,0.0,0.0
254.0,L47433,L,298.0,308.2,1357.0,48.2,7.0,0,0.0,0.0,0.0,0.0,0.0
255.0,L47434,L,298.0,308.2,1514.0,37.9,9.0,0,0.0,0.0,0.0,0.0,0.0
256.0,L47435,L,298.0,308.2,1489.0,40.4,11.0,0,0.0,0.0,0.0,0.0,0.0
257.0,L47436,L,298.1,308.3,1331.0,63.0,13.0,0,0.0,0.0,0.0,0.0,0.0
258.0,L47437,L,298.0,308.0,1615.0,29.5,15.0,0,0.0,0.0,0.0,0.0,0.0
259.0,L47438,L,298.1,308.2,1482.0,37.9,17.0,0,0.0,0.0,0.0,0.0,0.0
260.0,M15119,M,298.1,308.2,1420.0,63.9,19.0,1,0.0,0.0,1.0,0.0,0.0
261.0,M15120,M,298.2,308.3,1522.0,49.1,22.0,0,0.0,0.0,0.0,0.0,0.0
